name	type	units	low_cutoff	high_cutoff	group	sampling_frequency	description	notch
G1	ECOG	V	n/a	n/a	G	1000	grid	n/a
G2	ECOG	V	n/a	n/a	G	1000	grid	n/a
G3	ECOG	V	n/a	n/a	G	1000	grid	n/a
G4	ECOG	V	n/a	n/a	G	1000	grid	n/a
G5	ECOG	V	n/a	n/a	G	1000	grid	n/a
G6	ECOG	V	n/a	n/a	G	1000	grid	n/a
G7	ECOG	V	n/a	n/a	G	1000	grid	n/a
G8	ECOG	V	n/a	n/a	G	1000	grid	n/a
G9	ECOG	V	n/a	n/a	G	1000	grid	n/a
G10	ECOG	V	n/a	n/a	G	1000	grid	n/a
G11	ECOG	V	n/a	n/a	G	1000	grid	n/a
G12	ECOG	V	n/a	n/a	G	1000	grid	n/a
G13	ECOG	V	n/a	n/a	G	1000	grid	n/a
G14	ECOG	V	n/a	n/a	G	1000	grid	n/a
G15	ECOG	V	n/a	n/a	G	1000	grid	n/a
G16	ECOG	V	n/a	n/a	G	1000	grid	n/a
G17	ECOG	V	n/a	n/a	G	1000	grid	n/a
G18	ECOG	V	n/a	n/a	G	1000	grid	n/a
G19	ECOG	V	n/a	n/a	G	1000	grid	n/a
G20	ECOG	V	n/a	n/a	G	1000	grid	n/a
G21	ECOG	V	n/a	n/a	G	1000	grid	n/a
G22	ECOG	V	n/a	n/a	G	1000	grid	n/a
G23	ECOG	V	n/a	n/a	G	1000	grid	n/a
G24	ECOG	V	n/a	n/a	G	1000	grid	n/a
G25	ECOG	V	n/a	n/a	G	1000	grid	n/a
G26	ECOG	V	n/a	n/a	G	1000	grid	n/a
G27	ECOG	V	n/a	n/a	G	1000	grid	n/a
G28	ECOG	V	n/a	n/a	G	1000	grid	n/a
G29	ECOG	V	n/a	n/a	G	1000	grid	n/a
G30	ECOG	V	n/a	n/a	G	1000	grid	n/a
G31	ECOG	V	n/a	n/a	G	1000	grid	n/a
G32	ECOG	V	n/a	n/a	G	1000	grid	n/a
TT1	ECOG	V	n/a	n/a	TT	1000	strip	n/a
TT2	ECOG	V	n/a	n/a	TT	1000	strip	n/a
TT3	ECOG	V	n/a	n/a	TT	1000	strip	n/a
TT4	ECOG	V	n/a	n/a	TT	1000	strip	n/a
TT5	ECOG	V	n/a	n/a	TT	1000	strip	n/a
TT6	ECOG	V	n/a	n/a	TT	1000	strip	n/a
AST1	ECOG	V	n/a	n/a	AST	1000	strip	n/a
AST2	ECOG	V	n/a	n/a	AST	1000	strip	n/a
AST3	ECOG	V	n/a	n/a	AST	1000	strip	n/a
AST4	ECOG	V	n/a	n/a	AST	1000	strip	n/a
MST1	ECOG	V	n/a	n/a	MST	1000	strip	n/a
MST2	ECOG	V	n/a	n/a	MST	1000	strip	n/a
MST3	ECOG	V	n/a	n/a	MST	1000	strip	n/a
MST4	ECOG	V	n/a	n/a	MST	1000	strip	n/a
PST1	ECOG	V	n/a	n/a	PST	1000	strip	n/a
PST2	ECOG	V	n/a	n/a	PST	1000	strip	n/a
PST3	ECOG	V	n/a	n/a	PST	1000	strip	n/a
PST4	ECOG	V	n/a	n/a	PST	1000	strip	n/a
PPST1	ECOG	V	n/a	n/a	PPST	1000	strip	n/a
PPST2	ECOG	V	n/a	n/a	PPST	1000	strip	n/a
PPST3	ECOG	V	n/a	n/a	PPST	1000	strip	n/a
PPST4	ECOG	V	n/a	n/a	PPST	1000	strip	n/a
AI1	SEEG	V	n/a	n/a	AI	1000	depth	n/a
AI2	SEEG	V	n/a	n/a	AI	1000	depth	n/a
AI3	SEEG	V	n/a	n/a	AI	1000	depth	n/a
AI4	SEEG	V	n/a	n/a	AI	1000	depth	n/a
AI5	SEEG	V	n/a	n/a	AI	1000	depth	n/a
AI6	SEEG	V	n/a	n/a	AI	1000	depth	n/a
RS1	SEEG	V	n/a	n/a	RS	1000	depth	n/a
RS2	SEEG	V	n/a	n/a	RS	1000	depth	n/a
PI1	SEEG	V	n/a	n/a	PI	1000	depth	n/a
PI2	SEEG	V	n/a	n/a	PI	1000	depth	n/a
PI3	SEEG	V	n/a	n/a	PI	1000	depth	n/a
PI4	SEEG	V	n/a	n/a	PI	1000	depth	n/a
PI5	SEEG	V	n/a	n/a	PI	1000	depth	n/a
PI6	SEEG	V	n/a	n/a	PI	1000	depth	n/a
OF1	ECOG	V	n/a	n/a	OF	1000	strip	n/a
OF2	ECOG	V	n/a	n/a	OF	1000	strip	n/a
OF3	ECOG	V	n/a	n/a	OF	1000	strip	n/a
OF4	ECOG	V	n/a	n/a	OF	1000	strip	n/a
ALF1	ECOG	V	n/a	n/a	ALF	1000	strip	n/a
ALF2	ECOG	V	n/a	n/a	ALF	1000	strip	n/a
ALF3	ECOG	V	n/a	n/a	ALF	1000	strip	n/a
ALF4	ECOG	V	n/a	n/a	ALF	1000	strip	n/a
ALF5	ECOG	V	n/a	n/a	ALF	1000	strip	n/a
ALF6	ECOG	V	n/a	n/a	ALF	1000	strip	n/a
ALF7	ECOG	V	n/a	n/a	ALF	1000	strip	n/a
ALF8	ECOG	V	n/a	n/a	ALF	1000	strip	n/a
SF1	ECOG	V	n/a	n/a	SF	1000	strip	n/a
SF2	ECOG	V	n/a	n/a	SF	1000	strip	n/a
SF3	ECOG	V	n/a	n/a	SF	1000	strip	n/a
SF4	ECOG	V	n/a	n/a	SF	1000	strip	n/a
SF5	ECOG	V	n/a	n/a	SF	1000	strip	n/a
SF6	ECOG	V	n/a	n/a	SF	1000	strip	n/a
P1	ECOG	V	n/a	n/a	P	1000	strip	n/a
P2	ECOG	V	n/a	n/a	P	1000	strip	n/a
P3	ECOG	V	n/a	n/a	P	1000	strip	n/a
P4	ECOG	V	n/a	n/a	P	1000	strip	n/a
P5	ECOG	V	n/a	n/a	P	1000	strip	n/a
P6	ECOG	V	n/a	n/a	P	1000	strip	n/a
SPLT1	ECOG	V	n/a	n/a	SPLT	1000	strip	n/a
SPLT2	ECOG	V	n/a	n/a	SPLT	1000	strip	n/a
SPLT3	ECOG	V	n/a	n/a	SPLT	1000	strip	n/a
SPLT4	ECOG	V	n/a	n/a	SPLT	1000	strip	n/a
SPLT5	ECOG	V	n/a	n/a	SPLT	1000	strip	n/a
SPLT6	ECOG	V	n/a	n/a	SPLT	1000	strip	n/a
IPLT1	ECOG	V	n/a	n/a	IPLT	1000	strip	n/a
IPLT2	ECOG	V	n/a	n/a	IPLT	1000	strip	n/a
IPLT3	ECOG	V	n/a	n/a	IPLT	1000	strip	n/a
IPLT4	ECOG	V	n/a	n/a	IPLT	1000	strip	n/a
IPLT5	ECOG	V	n/a	n/a	IPLT	1000	strip	n/a
IPLT6	ECOG	V	n/a	n/a	IPLT	1000	strip	n/a
